map_id,trigger_id,action_id,relationship_type,timing_expectation,base_priority,activation_logic,eligibility_logic,matched_contextual_inputs,seasonality_modifier,vaccination_modifier,vulnerability_modifier,spread_state_modifier,capacity_modifier,suppression_logic,fallback_action_id,review_role,review_rationale,data_status
map_015,suspected_or_confirmed_inpatient_influenza,private_room_or_cohort_review,required,immediate,high,Trigger when patient placement decision is needed for influenza case,Requires suspected or confirmed influenza plus bed decision,seasonality_profile_id; current_date; influenza_specific_hospital_burden; ward_vulnerability; same_room_exposure; same_unit_exposure; outbreak_state; capacity_stress,Escalate during local high-alert or high burden,Escalate if ward-level protection is weakened by poor vaccine coverage,"Highest priority in transplant, oncology, ICU, neonatal, frail elderly, or shared-room areas",Escalate when ward is still mostly clean and preventable spread is likely,Escalate strongly when single rooms are scarce and roommate vulnerability is high,Suppress if patient is already safely isolated or cohorted under IPC guidance,multi_bed_room_contingency_review,ipc_or_bed_manager,Room placement should reflect both vulnerability and current spread state,ready
map_016,suspected_or_confirmed_inpatient_influenza,antiviral_treatment_review,recommended,same_day,high,Trigger when hospitalized influenza treatment review is indicated,Requires suspected or confirmed influenza,diagnosis_status; symptom_timing; renal_function; medication_profile; allergy_history; seasonality_profile_id; current_date; patient_vulnerability; severity_context; outbreak_context,Escalate during active local influenza circulation,"Not mainly coverage-driven, though low vaccination may raise suspicion","Escalate in severe disease, hospitalized status, and high-risk hosts",Escalate if case is part of cluster or prolonged-shedding concern,Drug supply or contraindications may constrain action,Suppress if influenza is confidently excluded,blank,licensed_clinician,Hospitalized influenza deserves timely human-reviewed treatment consideration,ready
map_017,same_room_exposure_to_confirmed_case,postexposure_prophylaxis_review,conditional,as_early_as_possible,high,Trigger when roommate or equivalent close-contact exposure is documented,Only for exposed person not already diagnosed with influenza,same_room_exposure; seasonality_profile_id; current_date; community_activity_level; ward_vulnerability; ward_saturation_state; hcw_vaccination_coverage; influenza_specific_hospital_burden,Escalate during active local transmission periods,Escalate if HCW coverage is low or patient protection is weak,"Escalate strongly for oncology, transplant, ICU, pregnancy, advanced age, immunosuppression, or major comorbidity",Highest priority in clean or pre-cluster wards where secondary prevention still matters,"If no single-room capacity, combine with rooming contingency review",Suppress if exposure window is clearly no longer actionable or prophylaxis is contraindicated,multi_bed_room_contingency_review,licensed_clinician,"This is a classic CodeBlue action whose urgency depends on context, not just exposure existence",ready
map_018,same_room_exposure_to_confirmed_case,private_room_or_cohort_review,conditional,immediate,high,Trigger when same-room exposure is ongoing or residual shared-room risk remains,Requires unresolved rooming risk,same_room_exposure; seasonality_profile_id; current_date; ward_vulnerability; same_unit_exposure; outbreak_state; capacity_stress,Escalate during local surges with shared-room pressure,Escalate if low vaccination context raises onward-spread concern,Escalate if exposed patient is fragile or downstream spread would threaten vulnerable zone,Escalate if cluster emergence is suspected or multiple linked exposures exist,Highest priority when safe single-room options are nearly exhausted,Suppress if exposure has ended and placement is already safe,multi_bed_room_contingency_review,ipc_or_bed_manager,"Same-room exposure often needs spatial control, not only medication review",ready
map_019,same_unit_exposure_to_confirmed_case,rapid_influenza_test_review,recommended,same_day,medium,Trigger when shared-unit exposure exists without direct same-room overlap,Best used when symptoms emerge or unit risk is elevated,same_unit_exposure; symptom_status; seasonality_profile_id; current_date; community_activity_level; ward_vulnerability; ward_cluster_state,Escalate during active local season or unit burden,Escalate when low vaccination context raises concern for broader undetected spread,Escalate in high-vulnerability service lines,Escalate if unit already has more than one linked case or rising burden,None unless testing resources are constrained,Suppress in clearly low-risk asymptomatic exposures where test would not change management,blank,clinician,Helps find early cases before a unit-level cluster becomes obvious,ready_partial
map_020,single_room_unavailable_for_influenza_case,multi_bed_room_contingency_review,required,immediate,critical,Trigger when preferred isolation placement is not feasible,Requires suspected or confirmed influenza plus explicit room-capacity constraint,seasonality_profile_id; current_date; influenza_specific_hospital_burden; ward_vulnerability; outbreak_state; same_room_exposure_history; prophylaxis_policy; capacity_stress,Escalate during high-burden periods when capacity is stressed,Escalate if low coverage raises risk that contingency placement will seed onward spread,Highest priority if neighbor is immunocompromised or ward is highly vulnerable,Escalate if ward is pre-cluster and preventable spread still plausible,This trigger is itself capacity-driven; barrier and roommate logic should be explicit,Suppress only if safe single-room or cohort option becomes available,private_room_or_cohort_review,ipc,Prevents system failure when ideal IPC placement is impossible,ready
map_021,ill_hcp_detected,staff_work_restriction_review,required,immediate,critical,Trigger when HCP has fever and respiratory symptoms or known influenza,Applies to staff with patient contact,seasonality_profile_id; current_date; community_activity_level; high_vulnerability_ward_assignment; multi_ward_cross_coverage; ward_cluster_state; hcw_vaccination_coverage,Escalate during active local influenza season,Escalate if staff vaccination coverage is low in the affected unit,"Highest priority if HCP covers transplant, oncology, ICU, neonatal, hematology, or multiple wards",Escalate if symptomatic HCP worked during cluster period,Staffing shortage complicates execution but should not cancel review,Suppress only if influenza is confidently ruled out and symptoms are noninfectious,cross_coverage_restriction_review,occupational_health_or_supervisor,Staff-vector control is central because one symptomatic HCP can bridge wards,ready
map_022,hcp_returns_with_residual_respiratory_symptoms,staff_masking_escalation_review,conditional,upon_return,medium,Trigger when HCP returns after fever resolution but still has cough or sneezing,Requires active patient-facing role,seasonality_profile_id; current_date; community_activity_level; hcw_vaccination_coverage; ward_vulnerability; cluster_signal; staff_movement_between_units,Escalate during active local circulation,Escalate if unit vaccine coverage is low or many staff remain susceptible,Escalate in high-vulnerability units or when HCP floats between wards,Escalate if unit already shows linked cases or hidden-spread concern,Mask supply and compliance can limit ideal execution,Suppress once symptoms resolve or patient-facing duties end,staff_work_restriction_review,supervisor_or_occ_health,Residual symptoms may still matter operationally even after fever ends,ready
map_023,exposed_hcp_assigned_to_high_vulnerability_ward,cross_coverage_restriction_review,conditional,as_soon_as_exposure_identified,high,Trigger when exposed HCP is scheduled to work in high-vulnerability ward,Requires meaningful exposure and pending vulnerable-ward assignment,seasonality_profile_id; current_date; community_activity_level; hcp_exposure_status; downstream_assignments; ward_vulnerability; clean_vs_saturated_ward_state; service_line_priority; staffing_pressure,Escalate during active local influenza season or facility spread,Escalate if staff vaccination protection is weak or uncertain,"Highest priority for oncology, transplant, ICU, neonatal, hematology, or other fragile populations",Highest priority when destination ward is still clean and worth protecting,Staffing emergency may force override with human justification,Suppress for low-confidence exposure with no symptoms and low downstream risk,staff_work_restriction_review,unit_lead,This is one of the clearest places where CodeBlue’s adaptive criteria matter,ready
map_024,ward_cluster_signal,outbreak_escalation_review,required,as_soon_as_cluster_suspected,critical,Trigger when two or more likely linked healthcare-associated cases occur in the same ward/unit within defined timeframe,Requires temporal and spatial plausibility,seasonality_profile_id; current_date; community_activity_level; case_count; timeframe; ward_location; linkage_plausibility; ward_vulnerability; clean_vs_saturated_state; subtype_signal; importation_pressure; capacity_stress,Escalate sharply during high local seasonal pressure,Escalate if unit coverage is low and staff/patient protection is weak,Highest priority in vulnerable wards where cluster consequences are disproportionate,Escalate if cluster is emerging in previously clean area; different logic if already saturated,Escalate if room shortage or staffing pressure limits containment options,Suppress if linkage review disproves cluster,staff_masking_escalation_review,ipc,Cluster review is the point where bedside actions become coordinated ward strategy,ready
map_025,ward_cluster_signal,staff_masking_escalation_review,recommended,same_day,high,Trigger when ward burden crosses local case-load threshold or cluster review suggests ward-level source control,Requires defined threshold or IPC judgment,seasonality_profile_id; current_date; community_activity_level; ward_case_count; local_policy_threshold; mask_supply; ward_vulnerability; hcw_vaccination_coverage; cluster_signal; staff_movement_between_units,Escalate during active local transmission,Escalate if staff vaccination coverage is low or uncertain,Highest priority in wards with fragile patients or high inter-staff contact density,Escalate if hidden staff-source transmission is plausible,Mask shortage may require ward prioritization,Suppress once cluster resolves and burden falls below threshold,outbreak_escalation_review,ipc,Ward-level masking is a scalable adaptive response during active spread,ready
map_026,patient_transport_under_precautions,transport_precaution_review,required,before_transport,high,Trigger when patient under influenza precautions must move through hospital,Requires planned transport or transfer,seasonality_profile_id; current_date; community_activity_level; transport_need; destination_vulnerability; outbreak_state; transport_distance,Escalate during local peaks with crowded corridors or receiving areas,Not strongly vaccination-driven,Escalate if destination area contains vulnerable patients or multiple shared spaces,Escalate if hospital is already managing active cluster or broad spread,Urgent transport may reduce ideal setup but not cancel review,Suppress if patient remains in place,blank,clinician_or_transport_lead,Movement is a common pathway for operational leakage of precautions,ready
map_027,visitor_request_while_patient_infectious,visitor_management_review,required,before_visit,medium,Trigger when in-person visit is requested while patient remains infectious,Applies during active infectious period,seasonality_profile_id; current_date; community_activity_level; patient_infectious_status; unit_type; visitor_status; outbreak_state; visitor_symptom_status,Escalate during high local activity,Escalate when community vaccination protection is weak or unknown,"Escalate in transplant, oncology, ICU, neonatal, and other high-vulnerability units",Escalate if unit is in cluster state or visitation volume is high,Capacity pressure less relevant than traffic and risk pressure,Suppress once patient is no longer considered infectious,blank,unit_lead,Visitor flow should be adapted to infectious period and ward fragility,ready
map_028,planned_or_emergent_agp,agp_precaution_review,required,before_or_during_agp,critical,"Trigger for bronchoscopy, intubation, suctioning, CPR, and other aerosol-generating procedures",Requires suspected or confirmed influenza or strong respiratory-infection concern,seasonality_profile_id; current_date; community_activity_level; procedure_type; room_type; case_status; immunocompromise_status; outbreak_state; viral_burden_concern,Escalate during active local season or if many respiratory cases are present,Not mainly vaccination-driven,Escalate in fragile patients and open-ward environments,Escalate if procedure occurs amid cluster or suspected hidden spread,AIIR shortage increases mitigation urgency rather than invalidating review,Suppress only if no AGP is actually occurring,blank,procedure_lead,AGPs change the control regime and require a stronger bundled response,ready
map_029,treatment_or_prophylaxis_consideration,antiviral_treatment_review,required,when_clinically_indicated,high,Trigger when influenza treatment review is clinically relevant,Requires diagnosed or strongly suspected influenza,seasonality_profile_id; current_date; community_activity_level; diagnosis_status; symptom_timing; patient_vulnerability; severity_context; outbreak_context,Escalate during active local influenza season,"Not mainly coverage-driven, though low vaccination may raise suspicion","Escalate in severe disease, high-risk host, or hospitalized status",Escalate if case is part of cluster or prolonged-shedding concern,Drug supply or contraindications may constrain action,Suppress if influenza is confidently excluded,blank,licensed_clinician,Treatment review should remain individualized but adaptive to context,ready
map_030,treatment_or_prophylaxis_consideration,postexposure_prophylaxis_review,recommended,when_exposure_or_policy_supports_it,medium,Trigger when exposed person is identified and prophylaxis review is clinically appropriate,Requires plausible exposure and susceptible target,seasonality_profile_id; current_date; community_activity_level; exposure_type; exposure_timing; target_identity; same_room_exposure; ward_vulnerability; ward_saturation_state; hcw_vaccination_coverage,Escalate during active transmission periods,Escalate if local vaccination protection is weak,Escalate in clean vulnerable wards and fragile targets,Lower priority in already saturated wards where marginal benefit is smaller,Drug supply and contraindications may constrain action,Suppress if exposure is not meaningful or timing window is closed,blank,licensed_clinician,Prophylaxis is one of the most context-sensitive actions in CodeBlue,ready
map_031,persistent_symptoms_or_shedding_beyond_default_window,prolonged_shedding_review,required,after_default_window,high,Trigger when symptoms or shedding persist beyond expected window,"Requires persistent symptoms, repeat positive testing, or strong concern",seasonality_profile_id; current_date; symptom_persistence; repeat_testing_if_available; immune_status; treatment_course; immunocompromise_status; critical_illness; room_sharing; ward_vulnerability,Seasonality matters less once prolonged course is identified,Not vaccination-driven at this stage,"Highest priority in immunocompromised, critically ill, or shared-room patients",Escalate if patient remains in or near vulnerable ward or ongoing cluster,Capacity strain matters if extended isolation is needed,Suppress if symptoms have resolved and no ongoing infectivity concern remains,blank,clinician,Prevents default timing from prematurely downgrading complex cases,ready
map_032,protective_environment_hcp_assignment,staff_work_restriction_review,conditional,before_assignment_or_return,critical,Trigger when recently ill or recovering HCP is assigned to HSCT or protective-environment patients,Requires assignment to special protected population,seasonality_profile_id; current_date; community_activity_level; high_vulnerability_ward_assignment; hcw_vaccination_coverage; staff_movement_between_units,Escalate during influenza season,Escalate if unit protection is weak or staff coverage is low,Maximum priority for HSCT/protective-environment assignment,Escalate further if facility cluster or staff-source spread is suspected,Staffing pressure may require override with explicit human review,Suppress if no recent illness/exposure and assignment is routine,cross_coverage_restriction_review,occupational_health_or_supervisor,Protective-environment patients justify stricter staff-vector controls than general wards,ready
map_033,manual_clinician_or_ipc_override,outbreak_escalation_review,conditional,whenever_manually_flagged,high,Trigger when clinician or IPC manually flags a concerning situation not fully captured by automated logic,Requires human-entered override reason,manual_flag; override_reason; flagged_entity; ward_vulnerability; outbreak_state; capacity_stress; seasonality_profile_id,May escalate during local season but valid year-round,Not vaccination-driven unless reviewer cites it,Escalate if flagged entity involves vulnerable ward or patient,Escalate if reviewer suspects hidden spread or atypical cluster,Escalate if capacity stress or workflow failure is part of the concern,Suppress only if override is withdrawn or duplicate of existing active review,rapid_influenza_test_review,ipc_or_clinician,Preserves human-in-the-loop control and auditability for context the automated layer misses,ready
map_034,manual_clinician_or_ipc_override,rapid_influenza_test_review,conditional,same_day,medium,Trigger when manual reviewer wants faster case clarification before escalation,Requires unresolved diagnostic uncertainty,manual_flag; override_reason; flagged_entity; seasonality_profile_id; community_activity_level; ward_cluster_state,Override can make influenza testing urgent even off-profile,Not directly vaccination-driven,Escalate if unresolved symptoms are in fragile patients or wards,Escalate if reviewer suspects early cluster or hidden spread,Testing capacity may limit speed,Suppress if diagnosis already adequately established,outbreak_escalation_review,clinician_or_ipc,Manual override should be able to accelerate diagnosis before broader response,ready
