source_id,citation,pmid,doi,country,setting,population,study_design,pathogen_scope,acquisition_context,hospital_acquired_definition,diagnostic_method,surveillance_frame,comparator_group,risk_factor_name,canonical_feature_name,risk_factor_type,feature_class,temporal_stage,risk_factor_definition,finding_text,effect_size,effect_size_type,confidence_interval,p_value,effect_direction,evidence_strength,adjustment_level,outcome_linked,clinical_context,applicability_to_influenza,key_limitations,study_reported_implication,codeblue_translation,tags,factor_role,data_status
sansone_2020,Sansone et al. 2020,32011654,10.1093/cid/ciaa108,Sweden,"Large acute-care university hospital, Gothenburg",435 hospitalized adult influenza A cases; 114 HCAI cases,Retrospective hospital-wide season analysis with WGS,Influenza A,Hospital-acquired / compared,ILI or ARI symptom onset >=48 h after admission or <=48 h after discharge,Real-time PCR + whole-genome sequencing,2016/17 influenza season,HCAI vs non-HCAI,hcai_30day_mortality,hcai_30day_mortality,comparative_outcome,outcome,post_infection,30-day mortality among healthcare-associated influenza A cases versus non-HCAI cases,Thirty-day mortality was higher among HCAI patients than non-HCAI patients,9.6% vs 4.6%,proportion comparison,NR,NR,increase_risk,medium,Descriptive comparison,mortality,Hospitalized adult influenza A cases,influenza_only,Difference did not remain independently significant in multivariable analysis,HCAI may be associated with more severe outcomes,Use as supportive mortality burden context,MORTALITY; COMPARATIVE,severity_associated,ready
sansone_2020,Sansone et al. 2020,32011654,10.1093/cid/ciaa108,Sweden,"Large acute-care university hospital, Gothenburg",435 hospitalized adult influenza A cases; 114 HCAI cases,Retrospective hospital-wide season analysis with WGS,Influenza A,Hospital-acquired / compared,ILI or ARI symptom onset >=48 h after admission or <=48 h after discharge,Real-time PCR + whole-genome sequencing,2016/17 influenza season,HCAI vs non-HCAI,hospital_acquired_influenza_status,hai_status,comparative_outcome,outcome,post_infection,Healthcare-associated versus non-healthcare-associated influenza A status,HCAI was associated with higher crude 30-day mortality and was retained as a potential risk factor in the final Cox model but did not reach conventional significance,NR,association,NR,82,mixed_or_unclear,medium,Multivariable Cox regression,mortality,Hospitalized adult influenza A cases,influenza_only,Not independently significant at conventional threshold,"Treat HCAI status as a possible severity modifier, not a definitive independent driver",Use HAI status cautiously in severity interpretation,MORTALITY; LABEL,comparative_profile,ready
parkash_2019,Parkash et al. 2019,30991976,10.1186/s12890-019-0842-6,Australia,"Tertiary referral hospital, Canberra",292 hospitalized influenza patients; 28 hospital-acquired cases,Surveillance-based observational study,Influenza,Hospital-acquired / compared,"Symptom onset ≥48 h after admission unrelated to respiratory illness, or diagnosis ≥7 days if onset unknown",PCR,Apr-Oct 2017,Hospital-acquired vs community-acquired influenza,length_of_stay_after_diagnosis,comparative_outcome,outcome,post_infection,Length of stay following diagnosis,Mean length of stay following diagnosis was 13 days for hospital-acquired cases compared with 5 days for community-acquired cases,13 vs 5,days_mean,NR,<0.001,increase_risk,medium,Univariate comparison,severity / resource burden,Hospitalized adult influenza patients,influenza_only,Outcome burden rather than acquisition factor,Hospital-acquired influenza increased post-diagnosis hospital burden,Use as severity/resource-burden context,LENGTH OF STAY; BURDEN,severity_associated,ready,
parkash_2019,Parkash et al. 2019,30991976,10.1186/s12890-019-0842-6,Australia,"Tertiary referral hospital, Canberra",292 hospitalized influenza patients; 28 hospital-acquired cases,Surveillance-based observational study,Influenza,Hospital-acquired / compared,"Symptom onset ≥48 h after admission unrelated to respiratory illness, or diagnosis ≥7 days if onset unknown",PCR,Apr-Oct 2017,Hospital-acquired vs community-acquired influenza,nonclassic_presentation,comparative_profile,surveillance,at_presentation,Presentation without classical influenza-like illness,Hospital-acquired influenza cases often lacked classical ILI criteria,25% vs 64.4%,group_difference,NR,<0.001,mixed_or_unclear,medium,Univariate comparison,clinical presentation,Hospitalized adult influenza patients,influenza_only,Better for detection logic than severity,Presentation pattern differed substantially between hospital- and community-acquired cases,Keep as comparative profile row,COMPARATIVE PROFILE; PRESENTATION,comparative_profile,ready,
parkash_2019,Parkash et al. 2019,30991976,10.1186/s12890-019-0842-6,Australia,"Tertiary referral hospital, Canberra",292 hospitalized influenza patients; 28 hospital-acquired cases,Surveillance-based observational study,Influenza,Hospital-acquired / compared,"Symptom onset ≥48 h after admission unrelated to respiratory illness, or diagnosis ≥7 days if onset unknown",PCR,Apr-Oct 2017,Hospital-acquired vs community-acquired influenza,patient_moves_after_diagnosis,comparative_profile,operational,post_detection,Average number of bed moves after diagnosis,Hospital-acquired cases were moved an average of 5 times after diagnosis,5,bed_moves_mean,NR,NR,increase_risk,medium,Descriptive surveillance,operational burden,Hospitalized adult influenza patients,influenza_only,Process metric rather than biological severity,Hospital-acquired cases generated substantial operational movement burden,Use as operational burden context,PATIENT FLOW; BURDEN,comparative_profile,ready,
zhang_2025,Zhang et al. 2025,40308921,10.3389/fpubh.2025.1495794,China,Zhengzhou Central Hospital,953 adults hospitalized >7 days; 239 HA influenza cases and 714 controls from the same ward/time window,Retrospective ML-based admission screening study,Influenza,Hospital-acquired,HA influenza diagnosed >=7 days after admission with positive PCR and no evidence at admission,PCR + ML,Jan 2021-May 2024,HA influenza cases vs ward-matched non-HA controls,icu_admission,icu_context,model_feature,operational,early_hospitalization,Admission to ICU,ICU admission was a key feature in the final model and was more frequent in HA influenza cases,15.5% vs 7.3%,group_difference,NR,<0.001,increase_risk,medium,LASSO/Boruta feature selection + XGBoost,severity context,Adults hospitalized >7 days,influenza_only,This is severity-context or care-intensity information rather than a pure acquisition feature,ICU admission identifies a higher-intensity care context linked to HA influenza,Route ICU-context rows outside the acquisition table,HIGH SEVERITY; ICU,severity_associated,ready_partial
snell_2022,Snell et al. 2022,36137361,10.1016/j.jiph.2022.08.021,United Kingdom,Multi-site healthcare organisation,298 inpatient contacts exposed to influenza from 11 index cases; 23 secondary cases,Prospective observational contact-follow-up study with PCR confirmation and sequencing subset,Influenza,Hospital-exposed inpatient contacts,Secondary case defined as first influenza-positive swab after exposure during 7-day follow-up,PCR; sequencing subset,Dec 2018-Feb 2019,Secondary cases vs flu-negative exposed contacts,secondary_case_after_nosocomial_exposure,secondary_case_status,comparative_outcome,outcome,post_exposure,PCR-confirmed symptomatic influenza acquisition after inpatient exposure to a known influenza case,Secondary cases had significantly higher HDU/ITU admission than flu-negative exposed contacts,4.77,OR,1.63-13.9,8,increase_risk,high,Multivariable logistic regression,HDU/ITU admission,Adult inpatients exposed to influenza case in shared bay/room,influenza_only,Only symptomatic contacts were tested; many contacts did not complete full follow-up,Nosocomial influenza acquisition after exposure was linked to major clinical deterioration,Use secondary-case status after inpatient exposure as a major escalation signal,HDU/ITU; CONTACTS; SEVERITY,severity_associated,ready
snell_2022,Snell et al. 2022,36137361,10.1016/j.jiph.2022.08.021,United Kingdom,Multi-site healthcare organisation,298 inpatient contacts exposed to influenza from 11 index cases; 23 secondary cases,Prospective observational contact-follow-up study with PCR confirmation and sequencing subset,Influenza,Hospital-exposed inpatient contacts,Secondary case defined as first influenza-positive swab after exposure during 7-day follow-up,PCR; sequencing subset,Dec 2018-Feb 2019,Secondary cases vs flu-negative exposed contacts,secondary_case_after_nosocomial_exposure,secondary_case_status,comparative_outcome,outcome,post_exposure,PCR-confirmed symptomatic influenza acquisition after inpatient exposure to a known influenza case,Secondary cases had significantly higher in-hospital mortality than flu-negative exposed contacts,3.81,OR,1.09-13.3,49,increase_risk,high,Multivariable logistic regression,in-hospital mortality,Adult inpatients exposed to influenza case in shared bay/room,influenza_only,Only symptomatic contacts were tested; many contacts did not complete full follow-up,Nosocomial influenza acquisition after exposure increased mortality risk,Use secondary-case status after inpatient exposure as a mortality-risk modifier,MORTALITY; CONTACTS,severity_associated,ready
bilgin_2023,Bilgin et al. 2023,38633557,10.36519/idcm.2023.243,Türkiye,"650-bed tertiary care university hospital, İstanbul",201 hospitalized adults with confirmed influenza; 92 HAI and 109 CAI,Retrospective cohort study,Influenza,Hospital-acquired / compared,HAI defined as negative PCR or no influenza-like illness on admission with positive test >72 h after admission,RT-PCR / BioFire respiratory panel,2017-2019 influenza seasons,HAI vs CAI,hospital_acquired_influenza_status,hai_status,comparative_outcome,outcome,post_infection,Hospital-acquired vs community-acquired influenza status among hospitalized adults,Hospital-acquired influenza was independently associated with higher 28-day mortality,5.6,OR,1.6-19.3,6,increase_risk,high,Multivariable logistic regression,28-day mortality,Hospitalized adults with confirmed influenza,influenza_only,Single-center retrospective cohort in a low-vaccination setting,HAI significantly worsened short-term prognosis,Use HAI status as a strong mortality-risk modifier once influenza is established,MORTALITY; 28-DAY,severity_associated,ready
zhan_2021,Zhan et al. 2021,34795934,10.21037/jtd-21-897,China,"Respiratory department of a 1520-bed tertiary hospital, Guangzhou",8 influenza-like illness patients during respiratory-ward outbreak; 7 RT-PCR-confirmed A(H1N1)pdm09,"Prospective outbreak investigation with RT-PCR, culture and phylogenetics",Influenza A(H1N1)pdm09,Nosocomial outbreak,ILI developing >48 h after hospitalization in the respiratory department,"Rapid antigen test, RT-PCR, culture; sequencing subset",21 Jan-17 Feb 2016 outbreak,Outbreak cases vs expected discharge timing / baseline costs,nosocomial_outbreak_case_status,hai_outbreak_case_status,comparative_outcome,outcome,post_infection,Confirmed or probable nosocomial A(H1N1)pdm09 case during ward outbreak,Nosocomial outbreak cases had a median 7-day delay in discharge and mean excess cost of 3358 RMB; no deaths occurred,7 days; 3358 RMB,burden_summary,NR,NR,increase_burden,medium,Descriptive outbreak investigation,length_of_stay_and_cost burden,Respiratory ward outbreak,influenza_only,Small single-ward outbreak with only 8 ILI cases,Outbreak caused measurable discharge delay and excess cost despite no deaths,Use nosocomial influenza cases as burden-escalation signals even when mortality is absent,DISCHARGE DELAY; COST,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with VRTIs; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza and COVID-19 mixed VRTI,Post-viral complication context,DRPs detected after the first 48 h of hospitalization,Culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,prolonged_length_of_stay,length_of_stay,model_feature,operational,later_hospital_course,Longer hospital stay during the admission course,"Length of stay was the highest-ranked predictor of hospital-acquired DRPs infection in the neural-network SHAP analysis, supporting prolonged admission as a major post-viral complication-context signal",1,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking,hospital-acquired DRPs infection / broader post-viral complication context,Hospitalized adult VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; model-feature evidence; not influenza-only or direct mortality modeling,Prolonged hospitalization was the strongest signal linked to hospital-acquired resistant-pathogen complication,"Use prolonged LOS only as broader post-influenza complication-context support, not as core influenza-severity evidence",DRP; LOS; BROADER COMPLICATION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with VRTIs; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza and COVID-19 mixed VRTI,Post-viral complication context,DRPs detected after the first 48 h of hospitalization,Culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,mechanical_ventilation,mechanical_ventilation,model_feature,device,later_hospital_course,Use of mechanical ventilation,"Mechanical ventilation was among the strongest SHAP-ranked predictors of hospital-acquired DRPs infection, consistent with higher care-intensity complication context after viral illness",7,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking,hospital-acquired DRPs infection / broader post-viral complication context,Hospitalized adult VRTI patients,mixed_vrti_partial,"Mixed influenza/COVID cohort; device-intensity feature, not influenza-only severity modeling",Invasive respiratory support strongly contributed to resistant-pathogen complication risk,Use MV only as broader complication-context support after viral infection,DRP; MV; BROADER COMPLICATION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with VRTIs; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza and COVID-19 mixed VRTI,Post-viral complication context,DRPs detected after the first 48 h of hospitalization,Culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,low_albumin,albumin,model_feature,lab,later_hospital_course,Reduced serum albumin / hypoalbuminemia,"Albumin was one of the top SHAP-ranked predictors, and the discussion interprets lower albumin as increasing vulnerability to hospital-acquired DRPs infection after VRTI",4,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking + study discussion,hospital-acquired DRPs infection / broader post-viral complication context,Hospitalized adult VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; model-feature evidence; not influenza-only severity modeling,Low albumin marked increased vulnerability to severe post-viral resistant-pathogen complication,"Use low albumin only as broader complication-context support, not as clean influenza-severity evidence",DRP; ALBUMIN; BROADER COMPLICATION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with VRTIs; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza and COVID-19 mixed VRTI,Post-viral complication context,DRPs detected after the first 48 h of hospitalization,Culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,elevated_d_dimer,d_dimer,model_feature,lab,later_hospital_course,Elevated D-dimer,"D-dimer was among the key SHAP-ranked predictors, and the discussion links elevated D-dimer to severe infection/sepsis pathways in DRPs-associated deterioration",10,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking + study discussion,hospital-acquired DRPs infection / broader post-viral complication context,Hospitalized adult VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; indirect complication interpretation; not influenza-only severity modeling,Elevated D-dimer may reflect severe post-viral infectious deterioration including sepsis context,Use elevated D-dimer only as broader post-viral complication-context support,DRP; D-DIMER; BROADER COMPLICATION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with VRTIs; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza and COVID-19 mixed VRTI,Post-viral complication context,DRPs detected after the first 48 h of hospitalization,Culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,advanced_age,age,model_feature,patient,baseline,Older age,"Age was the third-highest SHAP-ranked predictor of hospital-acquired DRPs infection, supporting older age as a broader vulnerability factor for post-viral in-hospital complication",3,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking,hospital-acquired DRPs infection / broader post-viral complication context,Hospitalized adult VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; model-feature evidence; not influenza-only severity modeling,Older patients had higher risk of resistant-pathogen complication after VRTI,Use age only as broad complication-context support here,DRP; AGE; BROADER COMPLICATION,severity_associated,ready_partial
yue_2017,Yue et al. 2017,27730741,10.1111/ajco.12565,Australia,Inpatient hematology and allogeneic stem cell transplant unit,12 outbreak-associated influenza A cases during nosocomial H1N1 outbreak,Retrospective outbreak review,Influenza A(H1N1),Nosocomial outbreak,Outbreak-associated influenza A cases in hematology/transplant unit,PCR on nasopharyngeal swabs and/or bronchoalveolar lavage,Single-unit outbreak period,Outbreak cases,h1n1_hematology_outbreak_case,hai_outbreak_case_status,burden_summary,outcome,post_infection,Confirmed outbreak-related influenza A case in hematology/transplant inpatient unit,Five patients died and four patients (33%) required intensive care during the outbreak,5 deaths; 33% ICU,burden_summary,NR,NR,increase_burden,medium,Descriptive outbreak review,death and ICU admission,High-risk hematology / transplant unit,influenza_only,Single specialized-unit outbreak,Nosocomial influenza in hematology patients was associated with substantial mortality and ICU use,Use hematology/transplant outbreaks as severe-event escalation contexts,MORTALITY; ICU; HEMATOLOGY,severity_associated,ready_partial
dennis_2020,Dennis et al. 2020,32565192,10.1016/j.jcf.2020.04.011,United Kingdom,Adult cystic fibrosis centre,10 influenza B outbreak cases among 21 inpatients,Outbreak investigation with prospective follow-up,Influenza B,Nosocomial outbreak,Influenza B cases arising during specialist ward outbreak,Respiratory viral PCR,May 2016 outbreak with 3-month follow-up,Outbreak cases,influenza_b_outbreak_case,influenza_b_outbreak_case_status,burden_summary,outcome,post_infection,Confirmed influenza B case during adult cystic fibrosis ward outbreak,Influenza infection resulted in a mean FEV1 reduction of 10.5% that persisted at 3 months after infection,10.5% FEV1 reduction,mean_difference,SD 11.3,0.012 acute; 0.003 persisted,increase_burden,high,Prospective follow-up,lung-function decline,Adult cystic fibrosis inpatients,influenza_only,Single-center outbreak,Outbreak-associated influenza B had sustained pulmonary impact,This supports longer-term severity burden after nosocomial influenza in vulnerable pulmonary patients,LUNG FUNCTION; FEV1; CF,severity_associated,ready
luque_paz_2020,Luque-Paz et al. 2020,32540461,10.1016/j.jhin.2020.06.005,France,Rennes University Hospital,57 nosocomial influenza cases during one influenza season,Retrospective study of documented nosocomial influenza,Influenza,Nosocomial influenza burden,Positive PCR >=48 h after admission with no influenza-like symptoms during first 48 h,PCR on respiratory samples,2017-2018 influenza season,Nosocomial influenza cases,nosocomial_influenza_case_status,hai_case_status,burden_summary,outcome,post_infection,Documented nosocomial influenza case in a tertiary-care hospital,Thirty-day mortality among nosocomial influenza cases was 12.3%,12.3%,burden_summary,NR,NR,increase_burden,medium,Descriptive retrospective study,30-day mortality,Elderly tertiary-care inpatients,influenza_only,Single-center one-season study,Nosocomial influenza in this elderly inpatient population carried meaningful short-term mortality burden,Use HAI case status as a severity-burden flag once influenza is confirmed,30-DAY MORTALITY; HAI,severity_associated,ready
luque_paz_2020,Luque-Paz et al. 2020,32540461,10.1016/j.jhin.2020.06.005,France,Rennes University Hospital,57 nosocomial influenza cases during one influenza season,Retrospective study of documented nosocomial influenza,Influenza,Nosocomial influenza burden,Positive PCR >=48 h after admission with no influenza-like symptoms during first 48 h,PCR on respiratory samples,2017-2018 influenza season,Nosocomial influenza cases,nosocomial_influenza_case_status,hai_case_status,burden_summary,outcome,post_infection,Documented nosocomial influenza case in a tertiary-care hospital,Ninety-day mortality among nosocomial influenza cases was 15.8%,15.8%,burden_summary,NR,NR,increase_burden,medium,Descriptive retrospective study,90-day mortality,Elderly tertiary-care inpatients,influenza_only,Single-center one-season study,Nosocomial influenza carried persistent medium-term mortality burden,Use HAI case status as a longer-horizon severity-burden flag,90-DAY MORTALITY; HAI,severity_associated,ready
luque_paz_2020,Luque-Paz et al. 2020,32540461,10.1016/j.jhin.2020.06.005,France,Rennes University Hospital,57 nosocomial influenza cases during one influenza season,Retrospective study of documented nosocomial influenza,Influenza,Nosocomial influenza burden,Positive PCR >=48 h after admission with no influenza-like symptoms during first 48 h,PCR on respiratory samples,2017-2018 influenza season,Nosocomial influenza cases,nosocomial_influenza_case_status,hai_case_status,burden_summary,outcome,post_infection,Documented nosocomial influenza case in a tertiary-care hospital,ICU admission occurred in 7.0% of nosocomial influenza cases,7.0%,burden_summary,NR,NR,increase_burden,medium,Descriptive retrospective study,ICU admission,Elderly tertiary-care inpatients,influenza_only,Single-center one-season study,Nosocomial influenza sometimes progressed to ICU-level severity,Use HAI case status as an ICU-escalation burden signal,ICU ADMISSION; HAI,severity_associated,ready
rothman_2023,Rothman et al. 2023,37419188,10.1016/j.jhin.2023.06.024,Sweden,Skåne County hospitals,430 hospital-acquired influenza cases among 4110 hospitalized influenza-positive adults,Prospective multi-season observational study with subtype analysis,Influenza,Hospital-acquired influenza severity burden,Medical-record review used to confirm nosocomial origin,RT-PCR with influenza A subtyping,2013-2019 influenza seasons,HAI subtypes compared for mortality,influenza_subtype,influenza_subtype,comparative_profile,pathogen,post_infection,Influenza subtype as a predictor of 30-day mortality among hospital-acquired influenza cases,"In multivariable analysis, influenza subtype was not predictive of 30-day mortality among hospital-acquired influenza cases; overall 30-day mortality was 9.3%",9.3%,burden_summary,NR,P=0.70 for H3N2 vs H1N1; P=0.58 for B vs H1N1,neutral,high,Multivariable logistic model,30-day mortality,Hospital-acquired influenza cases,influenza_only,Comorbidities were not included in the mortality model,Subtype influenced dissemination more than downstream mortality,Do not overinterpret subtype as a mortality predictor once HAI is established,30-DAY MORTALITY; SUBTYPE NEUTRAL,severity_associated,ready
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
